Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,Ratio_Variable_Access,Ratio_Field_Access,Ratio_Invocation,Ratio_Type_Access,Ratio_Typed_Ele,Ratio_Modifiable,Ratio_Package
12,6,22,31,1,0,0,3,0,0,39,6,0,0,0,1,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0.5,0.0,0.0,0.3333333333333333,0.5,0.5,0.0
30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,30,4,15,32,0,0,0,9,0,0,58,32,3,0,11,1.0,1.0,1.0,1.0,1.0,0.0,0.08333333333333333
7,2,3,10,1,0,0,1,0,0,12,2,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.25,0.5,0.0,0.16
6,3,10,13,0,0,0,5,0,0,24,11,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.13793103448275862
9,8,12,18,1,0,0,6,0,0,36,9,0,1,2,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.2,0.5,0.0,0.08695652173913043
4,6,6,18,0,0,0,5,0,0,20,1,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.19047619047619047
7,3,3,8,1,0,0,2,0,0,12,2,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.0,0.19047619047619047
4,1,3,10,0,0,0,3,0,0,11,3,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.25
6,1,5,11,0,0,0,5,0,0,18,5,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.13793103448275862
3,4,7,8,1,0,1,2,0,0,16,1,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.3076923076923077
3,2,0,10,1,0,0,1,0,0,8,0,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.23529411764705882
2,0,0,5,0,0,0,1,0,0,4,0,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.4
3,0,3,4,0,0,0,0,0,0,3,2,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4
