Name_Src_Method,Src_Modifiers,Src_Returned_Type,Src_Num_Parameters,Src_LOC_Extracted_Method,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,Returned_Type,Num_Parameters,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,commonVariable
eventually,[protected],void,3,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,3,3,1,3,1,0,0,0,1,0,0,7,1,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,3,3,1,3,1,0,0,0,1,0,0,7,1,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,4,2,2,4,8,1,1,0,2,0,0,12,2,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,4,2,2,4,8,1,1,0,2,0,0,12,2,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,3,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
eventually,[protected],void,3,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
invokeNextInterceptorAndVerifyTransaction,[private],Object,2,1,6,4,25,0,0,0,5,0,0,35,9,0,0,0,void,2,46,8,3,20,0,0,0,4,0,0,40,11,0,0,0,0
visitRollbackCommand,[public],Object,2,2,5,0,9,0,0,0,1,1,0,16,5,0,0,0,,0,3,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateInteger,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,void,5,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateInteger,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,void,5,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateInteger,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,void,5,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateInteger,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,void,5,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
validateLong,[protected],void,3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,,0,11,2,0,4,0,0,0,1,0,0,11,1,0,0,0,0
setupAttributes,"[private, static]",void,0,2,1,5,3,0,0,0,0,0,0,1,0,0,0,0,,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
openPostInReaderOrInAppWebview,"[public, static]",void,2,5,4,5,14,0,0,0,3,0,0,18,0,0,0,0,,0,27,4,5,14,0,0,0,3,0,0,18,0,0,0,0,0
generateMockClass,[public],Class,1,7,4,6,33,1,0,0,1,0,0,25,9,2,0,3,,0,8,1,4,4,0,0,0,0,0,0,7,0,1,0,1,0
getPlan,[public],PhysicalPlan,1,15,9,4,14,0,0,0,0,0,0,17,0,0,0,1,,0,14,4,0,6,0,0,0,0,0,0,8,0,0,0,1,0
convertToDrel,[protected],DrillRel,2,1,2,1,13,0,0,0,4,0,0,17,3,0,0,2,,0,12,1,0,6,0,0,0,1,0,0,7,1,0,0,0,0
getPlan,[public],PhysicalPlan,1,15,9,4,14,0,0,0,0,0,0,17,0,0,0,1,,0,12,1,0,6,0,0,0,1,0,0,7,1,0,0,0,0
main,"[public, static]",void,1,30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,,0,11,0,0,7,0,0,0,0,0,0,3,2,0,0,0,0
main,"[public, static]",void,1,30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,,0,2,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0
show,[public],void,1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,,0,76,11,7,31,1,0,0,8,0,0,39,4,0,0,2,0
show,[public],void,1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,,0,86,1,12,49,0,0,0,1,0,0,59,45,0,0,6,0
show,[public],void,1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,,0,21,1,0,9,0,0,0,2,0,0,10,6,0,0,2,0
show,[public],void,1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,,0,63,4,1,35,0,0,0,6,0,0,26,6,1,0,1,0
show,[public],void,1,101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,,0,61,14,6,22,2,0,2,0,0,0,38,10,0,0,5,0
write,"[public, final]",void,3,4,5,6,17,0,0,0,7,1,0,32,0,0,0,2,void,3,30,3,6,11,0,0,0,6,1,0,22,0,0,0,2,0
doInBackground,[protected],SiteList,1,6,3,6,9,0,0,0,3,0,0,16,3,0,0,4,List,0,19,1,6,4,0,0,0,3,0,0,7,3,0,0,0,0
processData,[public],Msg,0,10,6,31,19,0,0,0,7,0,0,45,23,5,0,5,,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0
updated,[public],void,1,18,7,31,42,1,0,1,11,0,0,54,34,0,0,5,void,0,52,4,28,28,0,0,0,6,0,0,39,28,0,0,4,0
next,[public],boolean,0,3,2,25,21,1,1,0,8,0,0,44,24,0,0,10,boolean,0,69,2,20,21,1,1,0,6,0,0,37,17,0,0,7,0
overridePidFileWithSpring,[public],void,0,11,6,1,14,0,0,0,0,0,0,12,2,0,0,0,,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
differentEventTypes,[public],void,0,12,5,1,15,0,0,0,0,0,0,14,2,0,0,0,,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setupConfigurationFromContext,[protected],boolean,3,7,6,15,35,0,0,0,6,0,0,41,0,0,0,0,,0,4,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0
resolveInner,[public],PsiElement,0,3,1,3,9,0,0,0,3,0,0,14,9,0,0,0,void,1,19,1,3,9,0,0,0,3,0,0,14,9,0,0,0,0
getSplits,[public],Array,2,4,1,0,5,0,0,0,0,0,0,7,4,0,0,0,,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
executeReloadAndWaitForCompletion,"[public, static]",void,1,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,,0,3,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0
getPropertiesForView,[private],Map,3,6,15,35,69,3,0,0,9,0,0,88,4,0,0,1,,0,8,1,2,2,0,0,0,1,0,0,6,1,0,0,0,0
getTimeUUID,"[public, static]",UUID,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
getTimeUUID,"[public, static]",UUID,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
createTable,[protected],String,1,6,2,1,5,0,0,0,0,0,0,8,3,0,0,0,String,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0
executeWithCondition,[public],ResultMessage,2,10,6,4,14,0,0,0,1,0,0,23,1,0,0,0,CQL3CasRequest,2,18,5,4,7,0,0,0,1,0,0,16,1,0,0,0,0
executeInternal,[public],ResultMessage,2,3,1,2,4,1,0,0,0,0,0,5,1,0,2,0,ResultMessage,2,13,1,2,5,1,0,0,2,0,0,8,0,0,1,0,0
executeWithConditions,[private],ResultMessage,2,9,13,16,24,1,0,1,6,0,0,57,3,0,0,5,Pair,2,53,10,12,19,1,0,1,6,0,0,42,3,0,0,3,0
executeInternal,[public],ResultMessage,2,3,1,2,5,1,0,0,3,0,0,8,0,0,1,0,ResultMessage,2,12,1,2,4,1,0,0,2,0,0,8,0,0,1,0,0
createKryo,"[private, static]",HadoopKryo,0,12,6,22,31,1,0,0,3,0,0,39,6,0,0,0,,0,8,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0
main,"[public, static]",void,1,30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,,0,63,4,15,32,0,0,0,9,0,0,58,32,3,0,11,0
setControls,"[public, static]",void,2,2,2,2,6,1,0,0,0,0,0,6,0,0,0,0,void,3,13,2,2,5,1,0,0,0,0,0,6,0,0,0,0,0
setControls,"[public, static]",void,2,5,2,1,9,0,0,0,0,0,0,10,1,0,0,0,void,3,13,2,2,5,1,0,0,0,0,0,6,0,0,0,0,0
getAndroidId,"[private, static]",AttributionIdentifiers,1,3,7,15,13,0,0,0,6,0,0,31,5,0,0,2,AttributionIdentifiers,1,48,7,21,13,0,0,0,6,0,0,25,5,0,0,2,0
getProbe,[protected],Probe,1,12,10,10,16,0,0,0,4,1,0,30,0,0,0,1,HTTPGetAction,2,22,5,4,9,0,0,0,2,0,0,17,0,0,0,1,0
doIteration,[public],void,1,19,16,9,62,0,0,0,0,5,1,91,17,0,0,5,boolean,4,66,9,11,37,0,0,0,1,5,1,63,14,0,0,3,0
report,[protected],void,1,6,0,4,7,0,0,0,0,0,0,11,6,0,0,1,void,0,7,0,0,3,0,0,0,0,0,0,5,2,0,0,0,0
execute,[private],boolean,3,8,16,39,75,4,1,2,20,2,0,117,32,2,0,16,boolean,2,108,10,15,47,1,0,0,11,1,0,72,19,0,0,9,0
execute,[private],boolean,3,8,16,39,75,4,1,2,20,2,0,117,32,2,0,16,,0,49,3,14,21,2,1,1,5,1,0,25,10,0,0,3,0
testForwardFromReady,[public],void,0,12,4,7,19,0,0,0,0,0,0,14,3,0,0,2,,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
testActivateFromIncorrectStatus,[public],void,0,9,5,10,17,0,0,0,1,0,0,18,2,0,0,3,,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
